"ID";"PlantProtectionProducts";"Periods";"SalesActiveIngredient_1";"SalesActiveIngredientIndexnumber_2"
"107";"A048533";"2021JJ00";"    1370";"      58"
"108";"A048534";"2010JJ00";"     110";"     102"
"109";"A048534";"2011JJ00";"     108";"     100"
"110";"A048534";"2012JJ00";"      90";"      84"
"111";"A048534";"2013JJ00";"      97";"      90"
"112";"A048534";"2014JJ00";"      97";"      90"
"113";"A048534";"2015JJ00";"      96";"      89"
"114";"A048534";"2016JJ00";"      97";"      90"
"115";"A048534";"2017JJ00";"     100";"      93"
"116";"A048534";"2018JJ00";"      92";"      85"
"117";"A048534";"2019JJ00";"      95";"      88"
"118";"A048534";"2020JJ00";"      97";"      90"
"119";"A048534";"2021JJ00";"      52";"      48"
"120";"A048535";"2010JJ00";"     144";"      85"
"121";"A048535";"2011JJ00";"     171";"     100"
"122";"A048535";"2012JJ00";"     244";"     143"
"123";"A048535";"2013JJ00";"     217";"     127"
"124";"A048535";"2014JJ00";"     279";"     164"
"125";"A048535";"2015JJ00";"     250";"     146"
"126";"A048535";"2016JJ00";"     304";"     178"
"127";"A048535";"2017JJ00";"     332";"     194"
"128";"A048535";"2018JJ00";"     292";"     171"
"129";"A048535";"2019JJ00";"     275";"     161"
"130";"A048535";"2020JJ00";"     325";"     191"
"131";"A048535";"2021JJ00";"     320";"     188"
"132";"A048536";"2010JJ00";"      86";"      87"
"133";"A048536";"2011JJ00";"      99";"     100"
"134";"A048536";"2012JJ00";"     100";"     101"
"135";"A048536";"2013JJ00";"      87";"      88"
"136";"A048536";"2014JJ00";"     102";"     103"
"137";"A048536";"2015JJ00";"      64";"      65"
"138";"A048536";"2016JJ00";"      57";"      57"
"139";"A048536";"2017JJ00";"      60";"      60"
"140";"A048536";"2018JJ00";"      68";"      69"
"141";"A048536";"2019JJ00";"      74";"      75"
"142";"A048536";"2020JJ00";"      40";"      40"
"143";"A048536";"2021JJ00";"      43";"      44"
"144";"A048537";"2010JJ00";"       0";"      93"
"145";"A048537";"2011JJ00";"       0";"     100"
"146";"A048537";"2012JJ00";"       0";"      38"
"147";"A048537";"2013JJ00";"       1";"     133"
"148";"A048537";"2014JJ00";"       1";"     106"
"149";"A048537";"2015JJ00";"       1";"     127"
"150";"A048537";"2016JJ00";"       1";"     146"
"151";"A048537";"2017JJ00";"       1";"     158"
"152";"A048537";"2018JJ00";"       1";"     248"
"153";"A048537";"2019JJ00";"       4";"     732"
"154";"A048537";"2020JJ00";"       3";"     592"
"155";"A048537";"2021JJ00";"       7";"    1420"
"156";"A048538";"2010JJ00";"      33";"     273"
"157";"A048538";"2011JJ00";"      12";"     100"
"158";"A048538";"2012JJ00";"      26";"     216"
"159";"A048538";"2013JJ00";"      18";"     150"
"160";"A048538";"2014JJ00";"      18";"     145"
"161";"A048538";"2015JJ00";"      15";"     119"
"162";"A048538";"2016JJ00";"      15";"     120"
"163";"A048538";"2017JJ00";"      14";"     118"
"164";"A048538";"2018JJ00";"      14";"     118"
"165";"A048538";"2019JJ00";"      17";"     137"
"166";"A048538";"2020JJ00";"      13";"     103"
"167";"A048538";"2021JJ00";"      11";"      89"
"168";"A048539";"2010JJ00";"    1188";"      86"
"169";"A048539";"2011JJ00";"    1375";"     100"
"170";"A048539";"2012JJ00";"    1686";"     123"
"171";"A048539";"2013JJ00";"    1532";"     111"
"172";"A048539";"2014JJ00";"    1656";"     120"
"173";"A048539";"2015JJ00";"    1382";"     101"
"174";"A048539";"2016JJ00";"    1351";"      98"
"175";"A048539";"2017JJ00";"    1262";"      92"
"176";"A048539";"2018JJ00";"    1174";"      85"
"177";"A048539";"2019JJ00";"    1041";"      76"
"178";"A048539";"2020JJ00";"    1086";"      79"
"179";"A048539";"2021JJ00";"    1335";"      97"
"180";"A048540";"2010JJ00";"     455";"     109"
"181";"A048540";"2011JJ00";"     416";"     100"
"182";"A048540";"2012JJ00";"     406";"      98"
"183";"A048540";"2013JJ00";"     376";"      91"
"184";"A048540";"2014JJ00";"     420";"     101"
"185";"A048540";"2015JJ00";"     346";"      83"
"186";"A048540";"2016JJ00";"     277";"      67"
"187";"A048540";"2017JJ00";"     263";"      63"
"188";"A048540";"2018JJ00";"     292";"      70"
"189";"A048540";"2019JJ00";"     338";"      81"
"190";"A048540";"2020JJ00";"     269";"      65"
"191";"A048540";"2021JJ00";"     255";"      61"
"192";"A048541";"2010JJ00";"     254";"      80"
"193";"A048541";"2011JJ00";"     317";"     100"
"194";"A048541";"2012JJ00";"     340";"     107"
"195";"A048541";"2013JJ00";"     273";"      86"
"196";"A048541";"2014JJ00";"     309";"      97"
"197";"A048541";"2015JJ00";"     244";"      77"
"198";"A048541";"2016JJ00";"     249";"      79"
"199";"A048541";"2017JJ00";"     339";"     107"
"200";"A048541";"2018JJ00";"     353";"     111"
"201";"A048541";"2019JJ00";"     323";"     102"
"202";"A048541";"2020JJ00";"     319";"     100"
"203";"A048541";"2021JJ00";"     306";"      97"
"204";"A048542";"2010JJ00";"     269";"      87"
"205";"A048542";"2011JJ00";"     311";"     100"
"206";"A048542";"2012JJ00";"     330";"     106"
"207";"A048542";"2013JJ00";"     303";"      98"
"208";"A048542";"2014JJ00";"     327";"     105"
"209";"A048542";"2015JJ00";"     310";"     100"
"210";"A048542";"2016JJ00";"     329";"     106"
"211";"A048542";"2017JJ00";"     332";"     107"
"212";"A048542";"2018JJ00";"     305";"      98"
"213";"A048542";"2019JJ00";"     287";"      92"
"214";"A048542";"2020JJ00";"     253";"      81"
"215";"A048542";"2021JJ00";"     293";"      94"
"216";"A048543";"2010JJ00";"     211";"      84"
"217";"A048543";"2011JJ00";"     253";"     100"
"218";"A048543";"2012JJ00";"     159";"      63"
"219";"A048543";"2013JJ00";"     164";"      65"
"220";"A048543";"2014JJ00";"     226";"      89"
"221";"A048543";"2015JJ00";"     166";"      66"
"222";"A048543";"2016JJ00";"     174";"      69"
"223";"A048543";"2017JJ00";"     199";"      79"
"224";"A048543";"2018JJ00";"     204";"      81"
"225";"A048543";"2019JJ00";"     191";"      76"
"226";"A048543";"2020JJ00";"     133";"      52"
"227";"A048543";"2021JJ00";"     122";"      48"
"228";"A048544";"2010JJ00";"      63";"      79"
"229";"A048544";"2011JJ00";"      80";"     100"
"230";"A048544";"2012JJ00";"      77";"      96"
"231";"A048544";"2013JJ00";"      79";"      98"
"232";"A048544";"2014JJ00";"      86";"     108"
"233";"A048544";"2015JJ00";"      98";"     122"
"234";"A048544";"2016JJ00";"     121";"     152"
"235";"A048544";"2017JJ00";"     113";"     142"
"236";"A048544";"2018JJ00";"     116";"     145"
"237";"A048544";"2019JJ00";"     122";"     153"
"238";"A048544";"2020JJ00";"     139";"     174"
"239";"A048544";"2021JJ00";"     158";"     198"
"240";"A048545";"2010JJ00";"     128";"     102"
"241";"A048545";"2011JJ00";"     126";"     100"
"242";"A048545";"2012JJ00";"     121";"      96"
"243";"A048545";"2013JJ00";"     100";"      80"
"244";"A048545";"2014JJ00";"     119";"      94"
"245";"A048545";"2015JJ00";"     121";"      96"
"246";"A048545";"2016JJ00";"     223";"     177"
"247";"A048545";"2017JJ00";"      51";"      41"
"248";"A048545";"2018JJ00";"      28";"      22"
"249";"A048545";"2019JJ00";"      70";"      56"
"250";"A048545";"2020JJ00";"      72";"      57"
"251";"A048545";"2021JJ00";"      81";"      64"
"252";"A048546";"2010JJ00";"    1255";"      83"
"253";"A048546";"2011JJ00";"    1510";"     100"
"254";"A048546";"2012JJ00";"    1597";"     106"
"255";"A048546";"2013JJ00";"    1454";"      96"
"256";"A048546";"2014JJ00";"    1760";"     117"
"257";"A048546";"2015JJ00";"    1581";"     105"
"258";"A048546";"2016JJ00";"    1361";"      90"
"259";"A048546";"2017JJ00";"    1586";"     105"
"260";"A048546";"2018JJ00";"    1664";"     110"
"261";"A048546";"2019JJ00";"    1390";"      92"
"262";"A048546";"2020JJ00";"    1438";"      95"
"263";"A048546";"2021JJ00";"    1372";"      91"
"264";"A048547";"2010JJ00";"       8";"      94"
"265";"A048547";"2011JJ00";"       9";"     100"
"266";"A048547";"2012JJ00";"      12";"     135"
"267";"A048547";"2013JJ00";"      12";"     132"
"268";"A048547";"2014JJ00";"      13";"     143"
"269";"A048547";"2015JJ00";"      16";"     178"
"270";"A048547";"2016JJ00";"      12";"     137"
"271";"A048547";"2017JJ00";"      14";"     160"
"272";"A048547";"2018JJ00";"       9";"     108"
"273";"A048547";"2019JJ00";"      13";"     148"
"274";"A048547";"2020JJ00";"      13";"     143"
"275";"A048547";"2021JJ00";"      13";"     149"
"276";"A048548";"2010JJ00";"";""
"277";"A048548";"2011JJ00";"";""
"278";"A048548";"2012JJ00";"";""
"279";"A048548";"2013JJ00";"";""
"280";"A048548";"2014JJ00";"";""
"281";"A048548";"2015JJ00";"";""
"282";"A048548";"2016JJ00";"";""
"283";"A048548";"2017JJ00";"";""
"284";"A048548";"2018JJ00";"       2";""
"285";"A048548";"2019JJ00";"       3";""
"286";"A048548";"2020JJ00";"       3";""
"287";"A048548";"2021JJ00";"       3";""
"288";"A048549";"2010JJ00";"      86";"      90"
"289";"A048549";"2011JJ00";"      96";"     100"
"290";"A048549";"2012JJ00";"      86";"      90"
"291";"A048549";"2013JJ00";"      78";"      82"
"292";"A048549";"2014JJ00";"      93";"      97"
"293";"A048549";"2015JJ00";"      56";"      59"
"294";"A048549";"2016JJ00";"      32";"      33"
"295";"A048549";"2017JJ00";"      82";"      86"
"296";"A048549";"2018JJ00";"      64";"      67"
"297";"A048549";"2019JJ00";"      67";"      70"
"298";"A048549";"2020JJ00";"      69";"      72"
"299";"A048549";"2021JJ00";"     181";"     189"
"300";"A048550";"2010JJ00";"      81";"     119"
"301";"A048550";"2011JJ00";"      68";"     100"
"302";"A048550";"2012JJ00";"      59";"      86"
"303";"A048550";"2013JJ00";"      44";"      65"
"304";"A048550";"2014JJ00";"      39";"      57"
"305";"A048550";"2015JJ00";"      63";"      92"
"306";"A048550";"2016JJ00";"      30";"      45"
"307";"A048550";"2017JJ00";"      41";"      61"
"308";"A048550";"2018JJ00";"      40";"      59"
"309";"A048550";"2019JJ00";"      58";"      85"
"310";"A048550";"2020JJ00";"       1";"       2"
"311";"A048550";"2021JJ00";"       0";"       0"
"312";"A048551";"2010JJ00";"       4";"      89"
"313";"A048551";"2011JJ00";"       5";"     100"
"314";"A048551";"2012JJ00";"       6";"     127"
"315";"A048551";"2013JJ00";"       5";"     115"
"316";"A048551";"2014JJ00";"       7";"     148"
"317";"A048551";"2015JJ00";"      49";"    1048"
"318";"A048551";"2016JJ00";"       5";"     109"
"319";"A048551";"2017JJ00";"      15";"     317"
"320";"A048551";"2018JJ00";"      36";"     756"
"321";"A048551";"2019JJ00";"      12";"     263"
"322";"A048551";"2020JJ00";"      14";"     305"
"323";"A048551";"2021JJ00";"      44";"     930"
"324";"A048552";"2010JJ00";"       2";"      48"
"325";"A048552";"2011JJ00";"       3";"     100"
"326";"A048552";"2012JJ00";"       4";"     123"
"327";"A048552";"2013JJ00";"       7";"     218"
"328";"A048552";"2014JJ00";"       6";"     203"
"329";"A048552";"2015JJ00";"       6";"     208"
"330";"A048552";"2016JJ00";"       6";"     200"
"331";"A048552";"2017JJ00";"       4";"     129"
"332";"A048552";"2018JJ00";"       4";"     128"
"333";"A048552";"2019JJ00";"       3";"     105"
"334";"A048552";"2020JJ00";"       3";"     110"
"335";"A048552";"2021JJ00";"       2";"      70"
"336";"A048553";"2010JJ00";"    1524";"      88"
"337";"A048553";"2011JJ00";"    1723";"     100"
"338";"A048553";"2012JJ00";"    1702";"      99"
"339";"A048553";"2013JJ00";"    1517";"      88"
"340";"A048553";"2014JJ00";"    1565";"      91"
"341";"A048553";"2015JJ00";"    2039";"     118"
"342";"A048553";"2016JJ00";"    2523";"     146"
"343";"A048553";"2017JJ00";"    2335";"     136"
"344";"A048553";"2018JJ00";"    1472";"      85"
"345";"A048553";"2019JJ00";"    1815";"     105"
"346";"A048553";"2020JJ00";"    2312";"     134"
"347";"A048553";"2021JJ00";"    2412";"     140"
"348";"A048554";"2010JJ00";"      16";"      81"
"349";"A048554";"2011JJ00";"      20";"     100"
"350";"A048554";"2012JJ00";"      27";"     133"
"351";"A048554";"2013JJ00";"      23";"     113"
"352";"A048554";"2014JJ00";"      27";"     136"
"353";"A048554";"2015JJ00";"      20";"      98"
"354";"A048554";"2016JJ00";"      20";"      99"
"355";"A048554";"2017JJ00";"      30";"     147"
"356";"A048554";"2018JJ00";"      11";"      54"
"357";"A048554";"2019JJ00";"      14";"      68"
"358";"A048554";"2020JJ00";"      16";"      80"
"359";"A048554";"2021JJ00";"      31";"     155"
"360";"A048555";"2010JJ00";"     207";"     103"
"361";"A048555";"2011JJ00";"     201";"     100"
"362";"A048555";"2012JJ00";"     299";"     149"
"363";"A048555";"2013JJ00";"     345";"     172"
"364";"A048555";"2014JJ00";"     444";"     221"
"365";"A048555";"2015JJ00";"     418";"     208"
"366";"A048555";"2016JJ00";"     447";"     223"
"367";"A048555";"2017JJ00";"     371";"     185"
"368";"A048555";"2018JJ00";"     367";"     183"
"369";"A048555";"2019JJ00";"     510";"     254"
"370";"A048555";"2020JJ00";"     542";"     270"
"371";"A048555";"2021JJ00";"     550";"     274"
"372";"A048556";"2010JJ00";"       5";"      93"
"373";"A048556";"2011JJ00";"       5";"     100"
"374";"A048556";"2012JJ00";"       4";"      81"
"375";"A048556";"2013JJ00";"       6";"     117"
